Timestamp,Open,High,Low,Close,Volume
2025-01-08 19:55:00,423.5800,423.9900,423.2000,423.5950,590
2025-01-08 19:50:00,423.9900,423.9900,423.0300,423.9400,2315
2025-01-08 19:45:00,423.5150,424.0000,423.1500,423.8000,259
2025-01-08 19:40:00,423.0200,424.0000,423.0200,423.7400,145
2025-01-08 19:35:00,423.8300,424.0000,423.0100,423.0200,1793
2025-01-08 19:30:00,424.0000,424.0000,423.5100,423.7550,449
2025-01-08 19:25:00,424.1700,424.3000,423.5100,423.7550,338
2025-01-08 19:20:00,424.0072,424.0200,423.5100,423.9050,269
2025-01-08 19:15:00,424.2988,424.3000,423.5100,423.9800,38
2025-01-08 19:10:00,423.9000,424.3000,423.5000,423.9900,625
2025-01-08 19:05:00,423.9500,424.1500,423.5000,423.5000,436
2025-01-08 19:00:00,423.9700,424.3400,423.8100,423.9700,157
2025-01-08 18:55:00,424.1700,424.3400,423.6185,423.9700,354
2025-01-08 18:50:00,424.1700,424.3400,424.0000,424.1700,52
2025-01-08 18:45:00,424.1700,424.3400,423.7800,424.1700,216
2025-01-08 18:40:00,424.2501,424.3400,424.0000,424.1700,331
2025-01-08 18:35:00,424.1450,424.3400,424.0000,424.3400,482
2025-01-08 18:30:00,424.2400,424.3400,424.0000,424.1500,61
2025-01-08 18:25:00,424.0200,424.3400,423.7000,424.0200,276
2025-01-08 18:20:00,423.9900,424.5600,423.7145,424.0200,7920
2025-01-08 18:15:00,423.9900,424.2800,423.7000,423.9900,154
2025-01-08 18:10:00,423.9750,424.2800,423.9750,423.9900,90
2025-01-08 18:05:00,423.8500,424.3400,423.8000,424.0000,109
2025-01-08 18:00:00,424.1750,424.3400,423.9000,424.0700,43
2025-01-08 17:55:00,423.9900,424.3400,423.8000,424.1750,385
2025-01-08 17:50:00,423.9000,423.9950,423.8000,423.9000,151
2025-01-08 17:45:00,423.9000,424.0000,423.7000,423.9000,96
2025-01-08 17:40:00,423.9000,424.0000,423.6601,423.9000,295
2025-01-08 17:35:00,424.1500,424.3500,423.8000,423.9500,1047
2025-01-08 17:30:00,424.1400,424.3800,424.0000,424.1900,415
2025-01-08 17:25:00,424.1900,440.6342,396.1456,424.1250,656
2025-01-08 17:20:00,404.7278,440.6342,395.9633,424.1900,2371
2025-01-08 17:15:00,424.0000,440.6342,396.1456,396.1456,964
2025-01-08 17:10:00,424.1950,424.3900,424.0000,424.0700,218
2025-01-08 17:05:00,424.0000,424.5600,424.0000,424.0400,166251
2025-01-08 17:00:00,424.0300,424.4500,424.0000,424.0000,241
2025-01-08 16:55:00,424.2250,424.4500,424.0000,424.1600,635
2025-01-08 16:50:00,424.1690,424.5600,423.9500,424.2400,1032
2025-01-08 16:45:00,424.2250,424.5600,423.9500,424.2900,4020
2025-01-08 16:40:00,424.0150,424.5600,423.7500,424.2100,369413
2025-01-08 16:35:00,424.3900,424.5500,423.6300,424.0150,1695
2025-01-08 16:30:00,424.3300,424.5600,424.1100,424.3900,1212
2025-01-08 16:25:00,424.5600,424.5600,424.1000,424.3200,4705
2025-01-08 16:20:00,424.1550,424.7800,423.7500,424.1900,147
2025-01-08 16:15:00,424.2400,424.5600,423.7500,424.1550,240547
2025-01-08 16:10:00,424.5500,424.9900,423.6000,424.1300,6928
2025-01-08 16:05:00,424.5600,424.9900,423.6100,423.6100,30018
2025-01-08 16:00:00,424.4900,424.9900,424.2400,424.6200,7247493
2025-01-08 15:55:00,424.3900,425.1400,424.2000,424.7000,948809
2025-01-08 15:50:00,423.8000,424.8200,423.6100,424.4200,201260
2025-01-08 15:45:00,424.3200,424.3200,423.6000,423.7650,105766
2025-01-08 15:40:00,423.9700,424.4400,423.9200,424.2750,135044
2025-01-08 15:35:00,424.2000,424.3800,423.9302,423.9700,516371
2025-01-08 15:30:00,424.2300,424.4450,424.1200,424.2000,94534
2025-01-08 15:25:00,424.2150,424.4800,424.0700,424.2309,72484
2025-01-08 15:20:00,423.9650,424.3253,423.9101,424.1700,68227
2025-01-08 15:15:00,423.0800,424.1200,423.0800,423.9600,71409
2025-01-08 15:10:00,423.5250,423.8400,423.0500,423.0800,113721
2025-01-08 15:05:00,423.6300,423.6700,423.3129,423.4613,72538
2025-01-08 15:00:00,423.5100,423.7500,423.3100,423.6275,78459
2025-01-08 14:55:00,423.4250,423.8400,423.3000,423.4800,88761
2025-01-08 14:50:00,423.7550,423.9399,423.3400,423.4800,62063
2025-01-08 14:45:00,423.7670,424.0350,423.4500,423.7550,79854
2025-01-08 14:40:00,424.1050,424.2583,423.5257,423.7700,64877
2025-01-08 14:35:00,424.4550,424.6100,424.0600,424.1000,64690
2025-01-08 14:30:00,425.0100,425.0100,424.2000,424.4800,112290
2025-01-08 14:25:00,424.4600,425.3300,424.3302,425.0675,105540
2025-01-08 14:20:00,424.2550,424.6500,424.1600,424.4500,63258
2025-01-08 14:15:00,423.4643,424.3200,423.4400,424.3199,62179
2025-01-08 14:10:00,424.4500,424.5600,423.3900,423.5500,64090
2025-01-08 14:05:00,423.5300,424.5300,423.4900,424.4400,134627
2025-01-08 14:00:00,423.7200,423.7400,423.0201,423.4001,60891
2025-01-08 13:55:00,422.9900,423.7700,422.8243,423.6300,53258
2025-01-08 13:50:00,423.7750,423.9400,422.7800,423.0000,75971
2025-01-08 13:45:00,424.3100,424.3100,423.7700,423.8242,54231
2025-01-08 13:40:00,424.3100,424.3799,423.9200,424.3300,59819
2025-01-08 13:35:00,424.2300,424.3600,424.0800,424.3300,58523
2025-01-08 13:30:00,424.1800,424.3800,423.9400,424.2500,63551
2025-01-08 13:25:00,424.0600,424.6200,424.0100,424.2400,74882
2025-01-08 13:20:00,424.0000,424.1050,423.6800,424.0600,59690
2025-01-08 13:15:00,423.6700,424.0600,423.5800,424.0050,61751
2025-01-08 13:10:00,423.4950,423.9300,423.3682,423.6200,61776
2025-01-08 13:05:00,423.6350,423.8300,423.3446,423.4500,47618
2025-01-08 13:00:00,422.5300,423.7600,422.4200,423.5933,102246
2025-01-08 12:55:00,422.4120,422.8703,422.2050,422.6050,60710
2025-01-08 12:50:00,422.1200,422.5400,422.0600,422.4042,73171
2025-01-08 12:45:00,422.3850,422.4860,421.9200,422.0300,98595
2025-01-08 12:40:00,421.8800,422.5699,421.8747,422.3850,96938
2025-01-08 12:35:00,422.0200,422.1800,421.8000,421.9100,84059
2025-01-08 12:30:00,421.8100,422.3000,421.5400,422.0200,78195
2025-01-08 12:25:00,422.5550,422.9600,421.5400,421.8000,141604
2025-01-08 12:20:00,423.1550,423.2820,422.2600,422.5264,123125
2025-01-08 12:15:00,423.1950,423.2900,422.8300,423.1000,90267
2025-01-08 12:10:00,423.9200,423.9600,423.0900,423.2000,99168
2025-01-08 12:05:00,424.6300,424.6300,423.5950,423.9375,124502
2025-01-08 12:00:00,424.8300,424.9700,424.6000,424.6000,50297
2025-01-08 11:55:00,425.0400,425.0600,424.6600,424.8670,55900
2025-01-08 11:50:00,425.3450,425.3450,424.8694,425.0850,68887
2025-01-08 11:45:00,425.6800,425.7000,425.2301,425.3450,58139
2025-01-08 11:40:00,425.2300,425.8300,424.9800,425.6649,97985
